"resident","gender","job","age","position","price","survey","resident2","age2","age3","gender2"
1,2,2,30,NA,NA,4,"1.서울특별시","청년층",1,"여자"
1,1,1,41,4,5.2,4,"1.서울특별시","중년층",2,"남자"
1,1,2,54,5,5.5,3,"1.서울특별시","중년층",2,"남자"
1,2,3,44,4,6.1,2,"1.서울특별시","중년층",2,"여자"
1,2,2,31,2,6.1,3,"1.서울특별시","중년층",2,"여자"
5,1,2,49,4,5.4,3,"5.시구군","중년층",2,"남자"
1,1,1,64,5,6,4,"1.서울특별시","장년층",3,"남자"
2,1,3,65,5,6.7,4,"2.인천광역시","장년층",3,"남자"
1,2,2,46,4,5.2,4,"1.서울특별시","중년층",2,"여자"
5,1,2,42,4,5.6,4,"5.시구군","중년층",2,"남자"
2,2,1,38,3,5.1,2,"2.인천광역시","중년층",2,"여자"
5,2,3,65,NA,5.5,4,"5.시구군","장년층",3,"여자"
1,2,1,40,3,6.1,5,"1.서울특별시","중년층",2,"여자"
2,2,1,42,4,NA,4,"2.인천광역시","중년층",2,"여자"
1,1,2,40,3,5,3,"1.서울특별시","중년층",2,"남자"
1,1,3,55,5,4,3,"1.서울특별시","중년층",2,"남자"
4,2,2,41,4,5.7,3,"4.대구광역시","중년층",2,"여자"
2,1,2,63,5,115.7,2,"2.인천광역시","장년층",3,"남자"
1,1,3,45,4,NA,3,"1.서울특별시","중년층",2,"남자"
2,2,2,59,NA,75.1,3,"2.인천광역시","장년층",3,"여자"
5,2,2,43,4,5.7,3,"5.시구군","중년층",2,"여자"
2,1,3,63,5,NA,4,"2.인천광역시","장년층",3,"남자"
1,1,NA,47,4,7.1,4,"1.서울특별시","중년층",2,"남자"
5,2,3,45,4,5,4,"5.시구군","중년층",2,"여자"
1,2,1,44,4,6.5,4,"1.서울특별시","중년층",2,"여자"
3,2,2,27,2,4.9,3,"3.대전광역시","청년층",1,"여자"
1,1,3,37,3,6.2,3,"1.서울특별시","중년층",2,"남자"
1,2,3,35,2,4.6,3,"1.서울특별시","중년층",2,"여자"
3,1,3,69,5,7.2,1,"3.대전광역시","장년층",3,"남자"
4,2,2,20,1,6.5,3,"4.대구광역시","청년층",1,"여자"
3,2,3,20,1,6.8,4,"3.대전광역시","청년층",1,"여자"
1,2,1,24,1,5.5,4,"1.서울특별시","청년층",1,"여자"
1,2,2,46,4,5.8,4,"1.서울특별시","중년층",2,"여자"
5,1,3,25,1,4,5,"5.시구군","청년층",1,"남자"
1,2,1,21,1,6.7,4,"1.서울특별시","청년층",1,"여자"
5,2,2,33,2,4.3,4,"5.시구군","중년층",2,"여자"
5,2,3,56,5,5,3,"5.시구군","장년층",3,"여자"
2,1,3,45,4,4,3,"2.인천광역시","중년층",2,"남자"
1,2,3,60,5,6.7,3,"1.서울특별시","장년층",3,"여자"
2,2,1,38,3,5.4,3,"2.인천광역시","중년층",2,"여자"
4,1,3,63,5,336.5,3,"4.대구광역시","장년층",3,"남자"
2,1,2,41,4,6.2,3,"2.인천광역시","중년층",2,"남자"
1,2,3,27,2,5.9,3,"1.서울특별시","청년층",1,"여자"
2,1,2,37,3,4.9,3,"2.인천광역시","중년층",2,"남자"
2,2,3,20,1,4.3,3,"2.인천광역시","청년층",1,"여자"
1,1,1,49,4,5.7,3,"1.서울특별시","중년층",2,"남자"
3,1,2,49,4,4,3,"3.대전광역시","중년층",2,"남자"
1,1,3,21,1,5.1,5,"1.서울특별시","청년층",1,"남자"
2,1,1,69,5,3.8,2,"2.인천광역시","장년층",3,"남자"
1,1,2,63,5,4.1,4,"1.서울특별시","장년층",3,"남자"
1,1,1,30,2,-4.8,4,"1.서울특별시","청년층",1,"남자"
2,2,3,34,2,5.1,4,"2.인천광역시","중년층",2,"여자"
1,1,1,26,2,5,3,"1.서울특별시","청년층",1,"남자"
1,1,1,59,NA,NA,3,"1.서울특별시","장년층",3,"남자"
2,1,2,38,3,5.2,3,"2.인천광역시","중년층",2,"남자"
1,2,1,57,5,4.7,2,"1.서울특별시","장년층",3,"여자"
1,1,1,60,5,5.1,3,"1.서울특별시","장년층",3,"남자"
2,1,2,49,4,4.4,3,"2.인천광역시","중년층",2,"남자"
1,1,1,65,5,5.2,2,"1.서울특별시","장년층",3,"남자"
2,2,1,49,4,5,3,"2.인천광역시","중년층",2,"여자"
5,1,3,23,1,4,3,"5.시구군","청년층",1,"남자"
1,1,1,63,5,3.9,2,"1.서울특별시","장년층",3,"남자"
2,1,2,45,4,4,3,"2.인천광역시","중년층",2,"남자"
4,2,1,29,2,4.1,3,"4.대구광역시","청년층",1,"여자"
2,1,3,28,2,5,3,"2.인천광역시","청년층",1,"남자"
5,1,NA,65,5,5,4,"5.시구군","장년층",3,"남자"
3,1,1,60,5,4,4,"3.대전광역시","장년층",3,"남자"
5,1,2,32,2,4,4,"5.시구군","중년층",2,"남자"
5,2,1,25,NA,85.1,4,"5.시구군","청년층",1,"여자"
1,1,3,38,3,6,3,"1.서울특별시","중년층",2,"남자"
1,1,3,65,5,3,3,"1.서울특별시","장년층",3,"남자"
4,1,2,24,1,5,3,"4.대구광역시","청년층",1,"남자"
1,1,2,61,5,7,4,"1.서울특별시","장년층",3,"남자"
2,1,2,41,4,6.4,5,"2.인천광역시","중년층",2,"남자"
1,1,1,63,5,6.2,4,"1.서울특별시","장년층",3,"남자"
1,1,3,30,2,5.5,4,"1.서울특별시","청년층",1,"남자"
1,1,2,37,3,4.3,1,"1.서울특별시","중년층",2,"남자"
1,1,1,29,2,4.8,4,"1.서울특별시","청년층",1,"남자"
2,1,2,25,1,6,3,"2.인천광역시","청년층",1,"남자"
1,1,2,36,3,4.1,3,"1.서울특별시","중년층",2,"남자"
1,1,1,47,4,5,2,"1.서울특별시","중년층",2,"남자"
3,1,3,64,5,4,3,"3.대전광역시","장년층",3,"남자"
1,2,2,28,NA,3.3,3,"1.서울특별시","청년층",1,"여자"
1,2,1,65,5,-345.6,3,"1.서울특별시","장년층",3,"여자"
2,2,2,24,1,NA,2,"2.인천광역시","청년층",1,"여자"
2,1,1,62,5,5.3,3,"2.인천광역시","장년층",3,"남자"
1,1,3,28,2,6.2,3,"1.서울특별시","청년층",1,"남자"
1,1,2,63,5,4.6,2,"1.서울특별시","장년층",3,"남자"
5,2,NA,26,2,3.4,4,"5.시구군","청년층",1,"여자"
1,1,3,40,3,6.3,4,"1.서울특별시","중년층",2,"남자"
3,1,2,52,5,6.3,4,"3.대전광역시","중년층",2,"남자"
1,2,2,43,4,3,4,"1.서울특별시","중년층",2,"여자"
3,1,3,44,4,6.8,4,"3.대전광역시","중년층",2,"남자"
1,2,2,30,NA,5,4,"1.서울특별시","청년층",1,"여자"
1,1,1,41,4,5.2,4,"1.서울특별시","중년층",2,"남자"
1,1,2,54,5,5.5,4,"1.서울특별시","중년층",2,"남자"
1,2,3,44,4,3,4,"1.서울특별시","중년층",2,"여자"
1,1,2,31,2,6.3,2,"1.서울특별시","중년층",2,"남자"
5,1,2,49,4,5.4,3,"5.시구군","중년층",2,"남자"
1,1,1,64,5,6,2,"1.서울특별시","장년층",3,"남자"
2,1,3,65,5,6.7,3,"2.인천광역시","장년층",3,"남자"
1,1,2,46,4,5.2,3,"1.서울특별시","중년층",2,"남자"
5,1,2,42,4,5.6,3,"5.시구군","중년층",2,"남자"
2,2,1,38,3,4.6,3,"2.인천광역시","중년층",2,"여자"
5,1,3,65,NA,5.5,3,"5.시구군","장년층",3,"남자"
1,1,1,40,3,6.1,3,"1.서울특별시","중년층",2,"남자"
2,2,1,42,4,5.3,3,"2.인천광역시","중년층",2,"여자"
1,1,2,40,3,5,4,"1.서울특별시","중년층",2,"남자"
1,1,3,55,5,6,4,"1.서울특별시","중년층",2,"남자"
4,1,2,41,4,5.7,4,"4.대구광역시","중년층",2,"남자"
2,2,2,63,5,115.7,4,"2.인천광역시","장년층",3,"여자"
1,1,3,45,4,4.6,4,"1.서울특별시","중년층",2,"남자"
2,2,2,59,NA,75.1,4,"2.인천광역시","장년층",3,"여자"
5,2,2,43,4,5.7,4,"5.시구군","중년층",2,"여자"
2,1,3,63,5,6.3,5,"2.인천광역시","장년층",3,"남자"
1,1,NA,47,4,7.1,4,"1.서울특별시","중년층",2,"남자"
5,1,3,45,4,5.2,4,"5.시구군","중년층",2,"남자"
1,1,1,44,4,6.5,4,"1.서울특별시","중년층",2,"남자"
3,1,2,27,2,4.9,3,"3.대전광역시","청년층",1,"남자"
1,1,3,37,3,6.2,3,"1.서울특별시","중년층",2,"남자"
1,2,3,35,2,4,3,"1.서울특별시","중년층",2,"여자"
3,1,3,69,5,7.2,3,"3.대전광역시","장년층",3,"남자"
4,2,2,20,1,6.5,3,"4.대구광역시","청년층",1,"여자"
3,2,3,20,1,6.8,3,"3.대전광역시","청년층",1,"여자"
1,2,1,24,1,5,3,"1.서울특별시","청년층",1,"여자"
1,2,2,46,4,5.8,3,"1.서울특별시","중년층",2,"여자"
5,1,3,25,1,6,2,"5.시구군","청년층",1,"남자"
1,2,1,21,1,6.7,3,"1.서울특별시","청년층",1,"여자"
1,1,3,47,NA,NA,3,"1.서울특별시","중년층",2,"남자"
1,2,2,48,4,6.9,4,"1.서울특별시","중년층",2,"여자"
1,2,3,22,1,4,2,"1.서울특별시","청년층",1,"여자"
5,2,1,48,4,7.7,4,"5.시구군","중년층",2,"여자"
1,2,3,21,1,5.3,4,"1.서울특별시","청년층",1,"여자"
5,1,2,64,5,4.8,4,"5.시구군","장년층",3,"남자"
1,2,NA,27,2,6.2,4,"1.서울특별시","청년층",1,"여자"
1,2,1,64,NA,6,5,"1.서울특별시","장년층",3,"여자"
5,1,3,54,5,6.4,4,"5.시구군","중년층",2,"남자"
5,2,3,42,4,5.1,4,"5.시구군","중년층",2,"여자"
5,2,3,54,5,7.9,4,"5.시구군","중년층",2,"여자"
1,1,NA,25,NA,6.4,4,"1.서울특별시","청년층",1,"남자"
2,2,3,54,5,6.3,3,"2.인천광역시","중년층",2,"여자"
2,2,2,63,5,6.3,2,"2.인천광역시","장년층",3,"여자"
1,2,3,43,4,NA,3,"1.서울특별시","중년층",2,"여자"
4,2,3,21,1,6,3,"4.대구광역시","청년층",1,"여자"
2,2,3,23,1,6.9,3,"2.인천광역시","청년층",1,"여자"
1,1,3,24,1,NA,2,"1.서울특별시","청년층",1,"남자"
5,2,2,33,2,4.3,3,"5.시구군","중년층",2,"여자"
5,1,3,56,5,NA,3,"5.시구군","장년층",3,"남자"
2,1,3,45,4,NA,3,"2.인천광역시","중년층",2,"남자"
1,2,3,60,5,6.7,4,"1.서울특별시","장년층",3,"여자"
2,2,1,38,3,5.4,4,"2.인천광역시","중년층",2,"여자"
3,2,3,63,5,7,4,"3.대전광역시","장년층",3,"여자"
4,2,2,20,1,6,3,"4.대구광역시","청년층",1,"여자"
1,1,3,60,5,6.2,3,"1.서울특별시","장년층",3,"남자"
3,2,3,20,1,6.1,3,"3.대전광역시","청년층",1,"여자"
1,2,1,24,1,5,3,"1.서울특별시","청년층",1,"여자"
1,2,2,46,4,5.8,3,"1.서울특별시","중년층",2,"여자"
5,1,3,25,1,4,3,"5.시구군","청년층",1,"남자"
3,2,3,50,4,3,2,"3.대전광역시","중년층",2,"여자"
1,2,1,21,1,5,3,"1.서울특별시","청년층",1,"여자"
5,1,2,64,5,6,2,"5.시구군","장년층",3,"남자"
1,2,NA,27,2,6.2,4,"1.서울특별시","청년층",1,"여자"
1,2,1,64,NA,NA,5,"1.서울특별시","장년층",3,"여자"
5,1,3,54,5,6.4,4,"5.시구군","중년층",2,"남자"
5,2,3,42,4,NA,3,"5.시구군","중년층",2,"여자"
5,2,3,54,5,7.9,3,"5.시구군","중년층",2,"여자"
1,1,NA,25,NA,6.4,2,"1.서울특별시","청년층",1,"남자"
2,2,3,54,5,6.3,3,"2.인천광역시","중년층",2,"여자"
2,2,2,63,5,6.3,3,"2.인천광역시","장년층",3,"여자"
1,2,3,43,4,NA,3,"1.서울특별시","중년층",2,"여자"
4,2,3,21,1,6,2,"4.대구광역시","청년층",1,"여자"
2,2,3,23,1,6.9,4,"2.인천광역시","청년층",1,"여자"
1,1,3,24,1,NA,4,"1.서울특별시","청년층",1,"남자"
4,2,3,63,5,336.5,4,"4.대구광역시","장년층",3,"여자"
2,1,2,41,4,6.2,5,"2.인천광역시","중년층",2,"남자"
1,2,3,27,2,5.9,4,"1.서울특별시","청년층",1,"여자"
1,1,3,47,NA,NA,4,"1.서울특별시","중년층",2,"남자"
1,2,2,48,4,6.9,2,"1.서울특별시","중년층",2,"여자"
1,2,3,22,1,NA,3,"1.서울특별시","청년층",1,"여자"
5,2,1,48,4,7.7,3,"5.시구군","중년층",2,"여자"
1,2,3,21,1,6.3,3,"1.서울특별시","청년층",1,"여자"
1,2,2,43,4,4.5,4,"1.서울특별시","중년층",2,"여자"
2,1,1,20,1,3.5,1,"2.인천광역시","청년층",1,"남자"
3,1,3,24,1,6.1,4,"3.대전광역시","청년층",1,"남자"
4,1,3,59,5,5.5,4,"4.대구광역시","장년층",3,"남자"
1,1,3,27,2,4.4,4,"1.서울특별시","청년층",1,"남자"
